group,specifier,long_name,units,resolution,frequency,valid_min,valid_max,comment
labour-variables,labsupp,Labour supply,pp,0.5° grid,annual,,,Labour supply measured in percentage-point change (pp). Should be reported separately for each exposure type (see note below the table).
labour-variables,labprod,Labour productivity,pp,0.5° grid,annual,,,Labour productivity measured in percentage-point change (pp). Should be reported separately for each exposure type (see note below the table).
labour-variables,labeff,Effective labour,pp,0.5° grid,annual,,,Effective labour measured in percentage-point change (pp). Should be reported separately for each exposure type (see note below the table).
