group,specifier,long_name,units,resolution,frequency,valid_min,valid_max,comment
fs-n-variables,modesevfipc,Fraction of population affected by moderate to severe food insecurity ,%,0.5° grid,annual,,,Fraction of the population in grid cell affected.
fs-n-variables,sevfipc,Fraction of population affected by severe food insecurity ,%,0.5° grid,annual,,,Fraction of the population in grid cell affected.
fs-n-variables,modesevfipop,Number of people affected by moderate to severe food insecurity,1,0.5° grid,annual,,,Number of people in grid cell affected.
fs-n-variables,sevfipop,Number of people affected by severe food insecurity,1,0.5° grid,annual,,,Number of people in grid cell affected.
